Payment ID,Loan ID,Pay Date,Amount Paid,Status
PAY30093,LOAN20006,2026-03-06,131008.06,OnTime
PAY30094,LOAN20006,2026-04-06,131008.06,OnTime
PAY30095,LOAN20006,2026-05-06,131008.06,OnTime
PAY30096,LOAN20006,2026-06-06,131008.06,OnTime
PAY30097,LOAN20006,2026-07-06,131008.06,OnTime
PAY30098,LOAN20006,2026-08-06,131008.06,OnTime
PAY30099,LOAN20007,2022-10-13,105648.1,OnTime
PAY30100,LOAN20007,2022-11-13,105648.1,OnTime
PAY30101,LOAN20007,2022-12-13,105648.1,OnTime
PAY30102,LOAN20007,2023-01-13,105648.1,OnTime
PAY30103,LOAN20007,2023-02-13,105648.1,OnTime
PAY30104,LOAN20007,2023-03-13,105648.1,OnTime
PAY30105,LOAN20007,2023-04-13,105648.1,OnTime
PAY30106,LOAN20007,2023-05-13,105648.1,OnTime
PAY30107,LOAN20007,2023-06-13,105648.1,OnTime
PAY30108,LOAN20007,2023-07-13,105648.1,OnTime
PAY30109,LOAN20007,2023-08-13,105648.1,OnTime
PAY30110,LOAN20007,2023-09-13,105648.1,OnTime
PAY30111,LOAN20007,2023-10-13,105648.1,OnTime
PAY30112,LOAN20007,2023-11-13,105648.1,OnTime
PAY30113,LOAN20007,2023-12-13,105648.1,OnTime
PAY30114,LOAN20007,2024-01-13,105648.1,OnTime
PAY30115,LOAN20007,2024-02-13,105648.1,OnTime
PAY30116,LOAN20007,2024-03-13,105648.1,OnTime
PAY30117,LOAN20007,2024-04-13,105648.1,OnTime
PAY30118,LOAN20007,2024-05-13,105648.1,OnTime
PAY30119,LOAN20007,2024-06-13,105648.1,OnTime
PAY30120,LOAN20007,2024-07-13,105648.1,OnTime
PAY30121,LOAN20007,2024-08-13,105648.1,OnTime
PAY30122,LOAN20007,2024-09-13,105648.1,OnTime
PAY30123,LOAN20007,2024-10-13,105648.1,OnTime
PAY30124,LOAN20007,2024-11-13,105648.1,OnTime
PAY30125,LOAN20007,2024-12-13,105648.1,OnTime
PAY30126,LOAN20007,2025-01-13,105648.1,OnTime
PAY30127,LOAN20007,2025-02-13,105648.1,OnTime
PAY30128,LOAN20007,2025-03-13,105648.1,OnTime
PAY30129,LOAN20007,2025-04-13,105648.1,OnTime
PAY30130,LOAN20007,2025-05-13,105648.1,OnTime
PAY30131,LOAN20007,2025-06-13,105648.1,OnTime
PAY30132,LOAN20007,2025-07-13,105648.1,OnTime
PAY30133,LOAN20007,2025-08-13,105648.1,OnTime
PAY30134,LOAN20007,2025-09-13,105648.1,OnTime
PAY30135,LOAN20007,2025-10-13,105648.1,OnTime
PAY30136,LOAN20007,2025-11-13,105648.1,OnTime
PAY30137,LOAN20007,2025-12-13,105648.1,OnTime
PAY30138,LOAN20007,2026-01-13,105648.1,OnTime
PAY30139,LOAN20007,2026-02-13,105648.1,OnTime
PAY30140,LOAN20007,2026-03-13,105648.1,OnTime
PAY30141,LOAN20007,2026-04-13,105648.1,OnTime
PAY30142,LOAN20007,2026-05-13,105648.1,OnTime
PAY30143,LOAN20007,2026-06-13,105648.1,OnTime
PAY30144,LOAN20007,2026-07-13,105648.1,OnTime
PAY30145,LOAN20007,2026-08-13,105648.1,OnTime
PAY30146,LOAN20007,2026-09-13,105648.1,OnTime
PAY30147,LOAN20008,2021-08-25,0.0,Late
PAY30148,LOAN20008,2021-09-25,0.0,Late
PAY30149,LOAN20008,2021-10-25,0.0,Late
PAY30150,LOAN20008,2021-11-25,0.0,Late
PAY30151,LOAN20008,2021-12-25,0.0,Late
PAY30152,LOAN20008,2022-01-25,0.0,Late
PAY30153,LOAN20008,2022-02-25,0.0,Late
PAY30154,LOAN20008,2022-03-25,0.0,Late
PAY30155,LOAN20008,2022-04-25,0.0,Late
PAY30156,LOAN20008,2022-05-25,0.0,Late
PAY30157,LOAN20008,2022-06-25,0.0,Late
PAY30158,LOAN20008,2022-07-25,0.0,Late
PAY30159,LOAN20009,2021-11-28,35458.38,OnTime
PAY30160,LOAN20009,2021-12-28,32238.69,OnTime
PAY30161,LOAN20009,2022-01-28,28560.41,OnTime
PAY30162,LOAN20009,2022-02-28,27661.33,OnTime
PAY30163,LOAN20009,2022-03-28,31917.54,OnTime
PAY30164,LOAN20009,2022-04-28,30039.65,OnTime
PAY30165,LOAN20009,2022-05-28,21442.83,OnTime
PAY30166,LOAN20009,2022-06-28,29453.74,OnTime
PAY30167,LOAN20009,2022-07-28,34683.11,OnTime
PAY30168,LOAN20009,2022-08-28,28506.04,OnTime
PAY30169,LOAN20009,2022-09-28,21259.26,OnTime
PAY30170,LOAN20009,2022-10-28,34325.02,OnTime
PAY30171,LOAN20009,2022-11-28,23917.66,OnTime
PAY30172,LOAN20009,2022-12-28,24936.43,OnTime
PAY30173,LOAN20009,2023-01-28,23265.42,OnTime
PAY30174,LOAN20009,2023-02-28,26210.31,OnTime
PAY30175,LOAN20009,2023-03-28,33799.65,OnTime
PAY30176,LOAN20009,2023-04-28,29576.21,OnTime
PAY30177,LOAN20009,2023-05-28,23980.25,OnTime
PAY30178,LOAN20009,2023-06-28,35953.99,OnTime
PAY30179,LOAN20009,2023-07-28,35985.16,OnTime
PAY30180,LOAN20009,2023-08-28,35824.97,OnTime
PAY30181,LOAN20009,2023-09-28,24583.69,OnTime
PAY30182,LOAN20009,2023-10-28,28363.68,OnTime
PAY30183,LOAN20009,2023-11-28,37860.68,OnTime
PAY30184,LOAN20009,2023-12-28,34071.19,OnTime
PAY30185,LOAN20009,2024-01-28,20818.19,OnTime
PAY30186,LOAN20009,2024-02-28,21494.99,OnTime
PAY30187,LOAN20009,2024-03-28,28589.51,OnTime
PAY30188,LOAN20009,2024-04-28,36512.52,OnTime
PAY30189,LOAN20009,2024-05-28,29919.9,OnTime
PAY30190,LOAN20009,2024-06-28,29192.36,OnTime
PAY30191,LOAN20009,2024-07-28,22211.49,OnTime
PAY30192,LOAN20009,2024-08-28,32020.86,OnTime
PAY30193,LOAN20009,2024-09-28,34962.45,OnTime
PAY30194,LOAN20009,2024-10-28,27103.6,OnTime
PAY30195,LOAN20009,2024-11-28,34135.23,OnTime
PAY30196,LOAN20009,2024-12-28,37495.69,OnTime
PAY30197,LOAN20009,2025-01-28,23960.41,OnTime
PAY30198,LOAN20009,2025-02-28,29646.38,OnTime
PAY30199,LOAN20009,2025-03-28,25443.84,OnTime
PAY30200,LOAN20010,2022-10-26,58094.55,Late
PAY30201,LOAN20010,2022-11-26,51634.14,Late
PAY30202,LOAN20010,2022-12-26,53344.49,Late
PAY30203,LOAN20010,2023-01-26,58246.4,Late
PAY30204,LOAN20010,2023-02-26,46183.27,Late
PAY30205,LOAN20010,2023-03-26,61763.08,Late
PAY30206,LOAN20010,2023-04-26,50296.67,Late
PAY30207,LOAN20010,2023-05-26,39039.95,Late
PAY30208,LOAN20010,2023-06-26,55184.73,Late
PAY30209,LOAN20010,2023-07-26,58106.76,Late
PAY30210,LOAN20010,2023-08-26,43806.06,Late
PAY30211,LOAN20010,2023-09-26,60025.06,Late
PAY30212,LOAN20010,2023-10-26,61494.57,Late
PAY30213,LOAN20010,2023-11-26,42609.87,Late
PAY30214,LOAN20010,2023-12-26,63816.84,Late
PAY30215,LOAN20010,2024-01-26,38522.44,Late
PAY30216,LOAN20010,2024-02-26,40362.3,Late
PAY30217,LOAN20010,2024-03-26,39828.37,Late
PAY30218,LOAN20010,2024-04-26,61129.82,Late
PAY30219,LOAN20010,2024-05-26,53936.03,Late
PAY30220,LOAN20010,2024-06-26,38864.36,Late
PAY30221,LOAN20010,2024-07-26,47514.39,Late
PAY30222,LOAN20010,2024-08-26,52765.73,Late
PAY30223,LOAN20010,2024-09-26,36804.33,Late
PAY30224,LOAN20010,2024-10-26,60782.48,Late
PAY30225,LOAN20010,2024-11-26,58417.15,Late
PAY30226,LOAN20011,2024-02-10,413186.01,Late
PAY30227,LOAN20011,2024-03-10,413186.01,Late
PAY30228,LOAN20011,2024-04-10,413186.01,Late
PAY30229,LOAN20012,2024-08-16,0.0,Late
PAY30230,LOAN20012,2024-09-16,0.0,Late
PAY30231,LOAN20012,2024-10-16,0.0,Late
PAY30232,LOAN20012,2024-11-16,0.0,Late
PAY30233,LOAN20012,2024-12-16,0.0,Late
PAY30234,LOAN20012,2025-01-16,0.0,Late
PAY30235,LOAN20012,2025-02-16,0.0,Late
PAY30236,LOAN20012,2025-03-16,0.0,Late
PAY30237,LOAN20012,2025-04-16,0.0,Late
PAY30238,LOAN20012,2025-05-16,0.0,Late
PAY30239,LOAN20012,2025-06-16,0.0,Late
PAY30240,LOAN20012,2025-07-16,0.0,Late
PAY30241,LOAN20012,2025-08-16,0.0,Late
PAY30242,LOAN20012,2025-09-16,0.0,Late
PAY30243,LOAN20012,2025-10-16,0.0,Late
PAY30244,LOAN20012,2025-11-16,0.0,Late
PAY30245,LOAN20012,2025-12-16,0.0,Late
PAY30246,LOAN20012,2026-01-16,0.0,Late
PAY30247,LOAN20012,2026-02-16,0.0,Late
PAY30248,LOAN20012,2026-03-16,0.0,Late
PAY30249,LOAN20012,2026-04-16,0.0,Late
PAY30250,LOAN20012,2026-05-16,0.0,Late
PAY30251,LOAN20012,2026-06-16,0.0,Late
PAY30252,LOAN20012,2026-07-16,0.0,Late
PAY30253,LOAN20012,2026-08-16,0.0,Late
PAY30254,LOAN20012,2026-09-16,0.0,Late
PAY30255,LOAN20012,2026-10-16,0.0,Late
PAY30256,LOAN20012,2026-11-16,0.0,Late
PAY30257,LOAN20012,2026-12-16,0.0,Late
PAY30258,LOAN20012,2027-01-16,0.0,Late
PAY30259,LOAN20012,2027-02-16,0.0,Late
PAY30260,LOAN20012,2027-03-16,0.0,Late
PAY30261,LOAN20012,2027-04-16,0.0,Late
PAY30262,LOAN20013,2024-08-26,0.0,Late
PAY30263,LOAN20013,2024-09-26,0.0,Late
PAY30264,LOAN20013,2024-10-26,0.0,Late
PAY30265,LOAN20013,2024-11-26,0.0,Late
PAY30266,LOAN20013,2024-12-26,0.0,Late
PAY30267,LOAN20013,2025-01-26,0.0,Late
PAY30268,LOAN20013,2025-02-26,0.0,Late
PAY30269,LOAN20013,2025-03-26,0.0,Late
PAY30270,LOAN20013,2025-04-26,0.0,Late
PAY30271,LOAN20014,2022-05-16,2165.26,Late
PAY30272,LOAN20014,2022-06-16,2165.26,Late
PAY30273,LOAN20014,2022-07-16,2165.26,Late
PAY30274,LOAN20014,2022-08-16,2165.26,Late
PAY30275,LOAN20014,2022-09-16,2165.26,Late
PAY30276,LOAN20014,2022-10-16,2165.26,Late
PAY30277,LOAN20014,2022-11-16,2165.26,Late
PAY30278,LOAN20014,2022-12-16,2165.26,Late
PAY30279,LOAN20014,2023-01-16,2165.26,Late
PAY30280,LOAN20014,2023-02-16,2165.26,Late
PAY30281,LOAN20014,2023-03-16,2165.26,Late
PAY30282,LOAN20014,2023-04-16,2165.26,Late
PAY30283,LOAN20014,2023-05-16,2165.26,Late
PAY30284,LOAN20014,2023-06-16,2165.26,Late
PAY30285,LOAN20015,2024-09-22,65634.29,Late
PAY30286,LOAN20015,2024-10-22,65634.29,Late
PAY30287,LOAN20015,2024-11-22,65634.29,Late
PAY30288,LOAN20015,2024-12-22,65634.29,Late
PAY30289,LOAN20015,2025-01-22,65634.29,Late
PAY30290,LOAN20015,2025-02-22,65634.29,Late
PAY30291,LOAN20015,2025-03-22,65634.29,Late
PAY30292,LOAN20015,2025-04-22,65634.29,Late
PAY30293,LOAN20015,2025-05-22,65634.29,Late
PAY30294,LOAN20015,2025-06-22,65634.29,Late
PAY30295,LOAN20015,2025-07-22,65634.29,Late
PAY30296,LOAN20015,2025-08-22,65634.29,Late
PAY30297,LOAN20015,2025-09-22,65634.29,Late
PAY30298,LOAN20015,2025-10-22,65634.29,Late
PAY30299,LOAN20015,2025-11-22,65634.29,Late
PAY30300,LOAN20015,2025-12-22,65634.29,Late
PAY30301,LOAN20015,2026-01-22,65634.29,Late
PAY30302,LOAN20015,2026-02-22,65634.29,Late
PAY30303,LOAN20015,2026-03-22,65634.29,Late
PAY30304,LOAN20015,2026-04-22,65634.29,Late
PAY30305,LOAN20016,2024-11-30,69542.7,OnTime
PAY30306,LOAN20016,2024-12-30,69542.7,OnTime
PAY30307,LOAN20016,2025-01-30,69542.7,OnTime
PAY30308,LOAN20016,2025-02-28,69542.7,OnTime
PAY30309,LOAN20016,2025-03-30,69542.7,OnTime
PAY30310,LOAN20016,2025-04-30,69542.7,OnTime
PAY30311,LOAN20016,2025-05-30,69542.7,OnTime
PAY30312,LOAN20016,2025-06-30,69542.7,OnTime
PAY30313,LOAN20016,2025-07-30,69542.7,OnTime
PAY30314,LOAN20016,2025-08-30,69542.7,OnTime
PAY30315,LOAN20016,2025-09-30,69542.7,OnTime
PAY30316,LOAN20016,2025-10-30,69542.7,OnTime
PAY30317,LOAN20016,2025-11-30,69542.7,OnTime
PAY30318,LOAN20016,2025-12-30,69542.7,OnTime
PAY30319,LOAN20016,2026-01-30,69542.7,OnTime
PAY30320,LOAN20016,2026-02-28,69542.7,OnTime
PAY30321,LOAN20016,2026-03-30,69542.7,OnTime
PAY30322,LOAN20016,2026-04-30,69542.7,OnTime
PAY30323,LOAN20016,2026-05-30,69542.7,OnTime
PAY30324,LOAN20016,2026-06-30,69542.7,OnTime
PAY30325,LOAN20017,2022-05-19,56981.71,Late
PAY30326,LOAN20017,2022-06-19,56981.71,Late
PAY30327,LOAN20017,2022-07-19,56981.71,Late
PAY30328,LOAN20017,2022-08-19,56981.71,Late
PAY30329,LOAN20017,2022-09-19,56981.71,Late
PAY30330,LOAN20017,2022-10-19,56981.71,Late
PAY30331,LOAN20017,2022-11-19,56981.71,Late
PAY30332,LOAN20017,2022-12-19,56981.71,Late
PAY30333,LOAN20017,2023-01-19,56981.71,Late
PAY30334,LOAN20017,2023-02-19,56981.71,Late
PAY30335,LOAN20017,2023-03-19,56981.71,Late
PAY30336,LOAN20017,2023-04-19,56981.71,Late
PAY30337,LOAN20017,2023-05-19,56981.71,Late
PAY30338,LOAN20017,2023-06-19,56981.71,Late
PAY30339,LOAN20017,2023-07-19,56981.71,Late
PAY30340,LOAN20017,2023-08-19,56981.71,Late
PAY30341,LOAN20017,2023-09-19,56981.71,Late
PAY30342,LOAN20017,2023-10-19,56981.71,Late
PAY30343,LOAN20017,2023-11-19,56981.71,Late
PAY30344,LOAN20017,2023-12-19,56981.71,Late
PAY30345,LOAN20017,2024-01-19,56981.71,Late
PAY30346,LOAN20017,2024-02-19,56981.71,Late
PAY30347,LOAN20017,2024-03-19,56981.71,Late
PAY30348,LOAN20017,2024-04-19,56981.71,Late
PAY30349,LOAN20017,2024-05-19,56981.71,Late
PAY30350,LOAN20017,2024-06-19,56981.71,Late
PAY30351,LOAN20017,2024-07-19,56981.71,Late
PAY30352,LOAN20017,2024-08-19,56981.71,Late
PAY30353,LOAN20017,2024-09-19,56981.71,Late
PAY30354,LOAN20017,2024-10-19,56981.71,Late
PAY30355,LOAN20017,2024-11-19,56981.71,Late
PAY30356,LOAN20017,2024-12-19,56981.71,Late
PAY30357,LOAN20017,2025-01-19,56981.71,Late
PAY30358,LOAN20017,2025-02-19,56981.71,Late
PAY30359,LOAN20018,2025-06-20,106435.92,Late
PAY30360,LOAN20018,2025-07-20,136267.81,Late
PAY30361,LOAN20018,2025-08-20,100788.46,Late
PAY30362,LOAN20018,2025-09-20,137364.65,Late
PAY30363,LOAN20018,2025-10-20,116944.33,Late
PAY30364,LOAN20018,2025-11-20,114797.04,Late
PAY30365,LOAN20018,2025-12-20,84526.22,Late
PAY30366,LOAN20018,2026-01-20,130765.46,Late
PAY30367,LOAN20019,2023-01-20,65350.56,Late
PAY30368,LOAN20019,2023-02-20,65350.56,Late
PAY30369,LOAN20019,2023-03-20,65350.56,Late
PAY30370,LOAN20019,2023-04-20,65350.56,Late
PAY30371,LOAN20019,2023-05-20,65350.56,Late
PAY30372,LOAN20019,2023-06-20,65350.56,Late
PAY30373,LOAN20019,2023-07-20,65350.56,Late
PAY30374,LOAN20019,2023-08-20,65350.56,Late
PAY30375,LOAN20019,2023-09-20,65350.56,Late
PAY30376,LOAN20019,2023-10-20,65350.56,Late
PAY30377,LOAN20019,2023-11-20,65350.56,Late
PAY30378,LOAN20019,2023-12-20,65350.56,Late
PAY30379,LOAN20019,2024-01-20,65350.56,Late
PAY30380,LOAN20019,2024-02-20,65350.56,Late
PAY30381,LOAN20019,2024-03-20,65350.56,Late
PAY30382,LOAN20019,2024-04-20,65350.56,Late
PAY30383,LOAN20019,2024-05-20,65350.56,Late
PAY30384,LOAN20019,2024-06-20,65350.56,Late
PAY30385,LOAN20019,2024-07-20,65350.56,Late
PAY30386,LOAN20019,2024-08-20,65350.56,Late
PAY30387,LOAN20019,2024-09-20,65350.56,Late
PAY30388,LOAN20019,2024-10-20,65350.56,Late
PAY30389,LOAN20019,2024-11-20,65350.56,Late
PAY30390,LOAN20019,2024-12-20,65350.56,Late
PAY30391,LOAN20019,2025-01-20,65350.56,Late
PAY30392,LOAN20019,2025-02-20,65350.56,Late
PAY30393,LOAN20019,2025-03-20,65350.56,Late
PAY30394,LOAN20019,2025-04-20,65350.56,Late
PAY30395,LOAN20019,2025-05-20,65350.56,Late
PAY30396,LOAN20019,2025-06-20,65350.56,Late
PAY30397,LOAN20020,2021-11-16,49235.24,OnTime
PAY30398,LOAN20020,2021-12-16,49235.24,OnTime
PAY30399,LOAN20020,2022-01-16,49235.24,OnTime
PAY30400,LOAN20020,2022-02-16,49235.24,OnTime
PAY30401,LOAN20021,2023-02-02,42859.29,OnTime
PAY30402,LOAN20021,2023-03-02,35619.68,OnTime
PAY30403,LOAN20021,2023-04-02,31535.96,OnTime
PAY30404,LOAN20021,2023-05-02,46469.21,OnTime
PAY30405,LOAN20021,2023-06-02,45586.12,OnTime
PAY30406,LOAN20022,2022-07-19,40297.84,Late
PAY30407,LOAN20022,2022-08-19,40297.84,Late
PAY30408,LOAN20022,2022-09-19,40297.84,Late
PAY30409,LOAN20022,2022-10-19,40297.84,Late
PAY30410,LOAN20022,2022-11-19,40297.84,Late
PAY30411,LOAN20022,2022-12-19,40297.84,Late
PAY30412,LOAN20022,2023-01-19,40297.84,Late
PAY30413,LOAN20022,2023-02-19,40297.84,Late
PAY30414,LOAN20022,2023-03-19,40297.84,Late
PAY30415,LOAN20022,2023-04-19,40297.84,Late
PAY30416,LOAN20022,2023-05-19,40297.84,Late
PAY30417,LOAN20022,2023-06-19,40297.84,Late
PAY30418,LOAN20022,2023-07-19,40297.84,Late
PAY30419,LOAN20022,2023-08-19,40297.84,Late
PAY30420,LOAN20022,2023-09-19,40297.84,Late
PAY30421,LOAN20023,2022-01-02,16315.51,Late
PAY30422,LOAN20023,2022-02-02,16315.51,Late
PAY30423,LOAN20023,2022-03-02,16315.51,Late
PAY30424,LOAN20023,2022-04-02,16315.51,Late
PAY30425,LOAN20023,2022-05-02,16315.51,Late
PAY30426,LOAN20024,2021-08-22,110747.16,Late
PAY30427,LOAN20024,2021-09-22,110747.16,Late
PAY30428,LOAN20024,2021-10-22,110747.16,Late
PAY30429,LOAN20024,2021-11-22,110747.16,Late
PAY30430,LOAN20024,2021-12-22,110747.16,Late
PAY30431,LOAN20024,2022-01-22,110747.16,Late
PAY30432,LOAN20025,2022-03-18,29510.98,OnTime
PAY30433,LOAN20025,2022-04-18,29510.98,OnTime
PAY30434,LOAN20025,2022-05-18,29510.98,OnTime
PAY30435,LOAN20025,2022-06-18,29510.98,OnTime
PAY30436,LOAN20025,2022-07-18,29510.98,OnTime
PAY30437,LOAN20025,2022-08-18,29510.98,OnTime
PAY30438,LOAN20025,2022-09-18,29510.98,OnTime
PAY30439,LOAN20025,2022-10-18,29510.98,OnTime
PAY30440,LOAN20025,2022-11-18,29510.98,OnTime
PAY30441,LOAN20025,2022-12-18,29510.98,OnTime
PAY30442,LOAN20025,2023-01-18,29510.98,OnTime
PAY30443,LOAN20025,2023-02-18,29510.98,OnTime
PAY30444,LOAN20025,2023-03-18,29510.98,OnTime
PAY30445,LOAN20025,2023-04-18,29510.98,OnTime
PAY30446,LOAN20025,2023-05-18,29510.98,OnTime
PAY30447,LOAN20025,2023-06-18,29510.98,OnTime
PAY30448,LOAN20025,2023-07-18,29510.98,OnTime
PAY30449,LOAN20025,2023-08-18,29510.98,OnTime
PAY30450,LOAN20025,2023-09-18,29510.98,OnTime
PAY30451,LOAN20025,2023-10-18,29510.98,OnTime
PAY30452,LOAN20025,2023-11-18,29510.98,OnTime
PAY30453,LOAN20025,2023-12-18,29510.98,OnTime
PAY30454,LOAN20025,2024-01-18,29510.98,OnTime
PAY30455,LOAN20025,2024-02-18,29510.98,OnTime
PAY30456,LOAN20025,2024-03-18,29510.98,OnTime
PAY30457,LOAN20025,2024-04-18,29510.98,OnTime
PAY30458,LOAN20025,2024-05-18,29510.98,OnTime
PAY30459,LOAN20025,2024-06-18,29510.98,OnTime
PAY30460,LOAN20025,2024-07-18,29510.98,OnTime
PAY30461,LOAN20025,2024-08-18,29510.98,OnTime
PAY30462,LOAN20025,2024-09-18,29510.98,OnTime
PAY30463,LOAN20025,2024-10-18,29510.98,OnTime
PAY30464,LOAN20025,2024-11-18,29510.98,OnTime
PAY30465,LOAN20025,2024-12-18,29510.98,OnTime
PAY30466,LOAN20025,2025-01-18,29510.98,OnTime
PAY30467,LOAN20025,2025-02-18,29510.98,OnTime
PAY30468,LOAN20025,2025-03-18,29510.98,OnTime
PAY30469,LOAN20025,2025-04-18,29510.98,OnTime
PAY30470,LOAN20025,2025-05-18,29510.98,OnTime
PAY30471,LOAN20025,2025-06-18,29510.98,OnTime
PAY30472,LOAN20025,2025-07-18,29510.98,OnTime
PAY30473,LOAN20025,2025-08-18,29510.98,OnTime
PAY30474,LOAN20025,2025-09-18,29510.98,OnTime
PAY30475,LOAN20025,2025-10-18,29510.98,OnTime
PAY30476,LOAN20025,2025-11-18,29510.98,OnTime
PAY30477,LOAN20026,2022-08-07,8407.37,OnTime
PAY30478,LOAN20026,2022-09-07,9178.95,OnTime
PAY30479,LOAN20026,2022-10-07,5518.18,OnTime
PAY30480,LOAN20026,2022-11-07,8462.19,OnTime
PAY30481,LOAN20026,2022-12-07,6005.8,OnTime
