Loan ID,Customer ID,Loan Amount,Loan Type,Rate of Interest,Term (Months),Loan Status,Issue Date,EMI
LOAN20029,CUST10544,3627694.0,Auto,14.32,48,Closed,2025-05-31,99715.4
LOAN20030,CUST10134,1898598.0,Home,12.2,60,Ongoing,2024-09-25,42425.4
LOAN20031,CUST10058,2046340.0,Education,10.62,36,Ongoing,2024-06-21,66626.9
LOAN20032,CUST10098,3464241.0,Home,8.39,24,Closed,2022-07-07,157295.15
LOAN20033,CUST10509,4016627.0,Auto,13.81,36,Ongoing,2024-09-03,136908.42
LOAN20034,CUST10957,1602288.0,Education,10.21,48,Ongoing,2024-12-13,40799.95
LOAN20035,CUST10593,2222674.0,Education,9.91,12,Closed,2023-03-26,195315.33
LOAN20036,CUST10151,2662355.0,Auto,8.79,24,Closed,2024-12-15,121372.64
LOAN20037,CUST10504,1065310.0,Home,8.37,48,Closed,2023-04-23,26192.75
LOAN20038,CUST10336,4794583.0,Auto,10.47,48,Closed,2022-02-19,122688.08
LOAN20039,CUST10171,4412283.0,Home,8.71,48,Closed,2022-04-15,109193.28
LOAN20040,CUST10521,1275806.0,Education,13.4,12,Closed,2021-06-13,114191.08
LOAN20041,CUST10383,3673289.0,Education,7.33,36,Ongoing,2025-04-08,113975.55
LOAN20042,CUST10585,2224037.0,Home,13.05,60,Ongoing,2021-11-08,50660.62
LOAN20043,CUST10145,4527912.0,Auto,14.12,12,Closed,2021-12-21,406803.87
LOAN20044,CUST10498,3644839.0,Education,14.85,24,Closed,2024-07-07,176466.38
LOAN20045,CUST10968,2876635.0,Home,13.34,60,Closed,2022-07-28,65954.05
LOAN20046,CUST10542,3152780.0,Home,7.65,60,Ongoing,2025-02-20,63400.21
LOAN20047,CUST10685,4127782.0,Home,9.56,24,Ongoing,2021-07-26,189639.01
LOAN20048,CUST10503,1265879.0,Auto,12.71,36,Closed,2022-10-29,42475.86
LOAN20049,CUST10981,3810444.0,Personal,10.17,12,Ongoing,2024-12-08,335299.91
LOAN20050,CUST10365,520675.0,Home,13.47,12,Closed,2022-12-21,46620.16
LOAN20051,CUST10735,2545566.0,Education,9.97,36,Ongoing,2021-12-09,82102.41
LOAN20052,CUST10530,887269.0,Auto,12.94,12,Closed,2024-06-12,79223.48
LOAN20053,CUST10010,1196649.0,Home,14.39,48,Closed,2021-10-19,32934.79
LOAN20054,CUST10962,4139716.0,Home,13.54,12,Closed,2024-08-22,370797.77
LOAN20055,CUST10176,4528468.0,Auto,12.34,24,Ongoing,2024-08-15,213890.44
LOAN20056,CUST10221,1070911.0,Home,8.74,60,Closed,2023-04-26,22095.46
LOAN20057,CUST10613,4625677.0,Education,13.46,24,Ongoing,2025-01-18,220913.89
LOAN20058,CUST10762,3574251.0,Home,11.43,12,Ongoing,2023-03-21,316615.58
LOAN20059,CUST10092,2853729.0,Auto,12.55,12,Ongoing,2024-07-06,254285.2
LOAN20060,CUST10487,4987981.0,Home,9.44,60,Closed,2024-06-25,104610.69
LOAN20061,CUST10717,1149432.0,Home,13.66,60,Ongoing,2022-06-19,26543.1
LOAN20062,CUST10307,323091.0,Home,7.61,24,Closed,2023-07-08,14555.13
LOAN20063,CUST10708,2812774.0,Auto,8.18,12,Closed,2023-02-17,244912.95
LOAN20064,CUST10565,3624787.0,Personal,12.68,36,Closed,2024-12-11,121575.45
LOAN20065,CUST10534,1555684.0,Auto,8.12,36,Ongoing,2025-04-25,48835.65
LOAN20066,CUST10614,838882.0,Home,8.18,60,Closed,2023-05-14,17081.86
LOAN20067,CUST10092,1843817.0,Personal,12.6,12,Closed,2024-01-03,164338.89
LOAN20068,CUST10056,1701740.0,Auto,14.19,24,Closed,2024-06-21,81858.27
LOAN20069,CUST10296,263274.0,Home,11.93,60,Closed,2023-09-14,5847.08
LOAN20070,CUST10626,518601.0,Auto,9.14,12,Ongoing,2024-04-11,45386.1
LOAN20071,CUST10724,1521507.0,Education,14.21,36,Closed,2024-08-26,52156.82
LOAN20072,CUST10649,4421027.0,Education,10.87,48,Closed,2023-02-23,113984.85
LOAN20073,CUST10633,2683577.0,Home,7.95,12,Closed,2022-04-14,233378.11
LOAN20074,CUST10321,3231452.0,Education,14.6,60,Closed,2022-03-31,76199.19
LOAN20075,CUST10654,1519231.0,Home,10.04,60,Ongoing,2022-08-04,32309.08
LOAN20076,CUST10042,3344384.0,Education,8.36,60,Closed,2023-03-01,68389.72
LOAN20077,CUST10157,3786912.0,Asset,14.6,48,Closed,2024-08-10,104626.34
LOAN20078,CUST10924,650656.0,Personal,13.33,24,Closed,2022-03-30,31034.32
LOAN20079,CUST10949,1118933.0,Personal,13.99,48,Closed,2021-12-29,30570.88
LOAN20080,CUST10246,3142901.0,Education,13.63,36,Ongoing,2022-01-16,106852.98
LOAN20081,CUST10646,2525826.0,Auto,9.49,36,Ongoing,2024-08-10,80897.85
LOAN20082,CUST10073,1273891.0,Asset,7.76,36,Ongoing,2024-09-26,39778.22
LOAN20083,CUST10678,1212395.0,Personal,7.71,60,Closed,2023-09-06,24415.08
LOAN20084,CUST10745,582065.0,Home,13.9,24,Ongoing,2022-11-07,27919.13
LOAN20085,CUST10535,4902266.0,Auto,8.15,36,Closed,2021-12-26,153958.65
LOAN20086,CUST10411,1282234.0,Auto,7.38,60,Ongoing,2024-04-08,25620.28
LOAN20087,CUST10973,3757180.0,Personal,14.17,60,Closed,2022-04-18,87754.5
LOAN20088,CUST10247,3706375.0,Auto,7.59,48,Closed,2021-10-29,89771.83
LOAN20089,CUST10714,88754.0,Auto,12.63,12,Closed,2022-05-15,7911.87
LOAN20090,CUST10800,812113.0,Personal,12.05,24,Closed,2023-10-22,38247.94
LOAN20091,CUST10004,3599332.0,Auto,13.42,12,Ongoing,2022-08-12,322192.2
LOAN20092,CUST10271,4472571.0,Education,12.72,12,Ongoing,2023-01-08,398890.55
LOAN20093,CUST10641,86018.0,Home,14.28,12,Closed,2022-12-05,7734.65
LOAN20094,CUST10024,1828416.0,Personal,11.36,24,Closed,2021-06-15,85524.44
LOAN20095,CUST10341,2743003.0,Personal,8.51,36,Closed,2024-03-18,86602.56
LOAN20096,CUST10568,4350687.0,Asset,8.22,48,Ongoing,2023-11-11,106662.85
LOAN20097,CUST10862,512992.0,Auto,14.91,12,Ongoing,2022-09-22,46280.01
LOAN20098,CUST10648,3956762.0,Education,8.89,24,Closed,2024-01-27,180564.02
LOAN20099,CUST10728,2081022.0,Auto,9.59,60,Closed,2021-11-07,43796.92
LOAN20100,CUST10919,3724794.0,Asset,11.58,48,Ongoing,2024-08-06,97321.76
LOAN20101,CUST10419,1175670.0,Auto,12.24,48,Closed,2022-04-01,31098.62
LOAN20102,CUST10505,1525476.0,Auto,10.21,36,Closed,2022-06-24,49373.36
LOAN20103,CUST10192,634806.0,Education,9.43,12,Closed,2022-06-21,55641.38
LOAN20104,CUST10600,587880.0,Education,11.24,36,Closed,2023-08-11,19313.32
LOAN20105,CUST10610,3796503.0,Education,14.23,12,Closed,2023-04-18,341288.05
LOAN20106,CUST10126,3460627.0,Education,11.12,36,Closed,2023-12-02,113493.25
LOAN20107,CUST10247,4822671.0,Home,11.21,12,Ongoing,2021-07-24,426708.21
LOAN20108,CUST10021,4016218.0,Personal,14.1,48,Ongoing,2024-09-05,109950.66
LOAN20109,CUST10506,3361595.0,Auto,14.0,48,Ongoing,2022-04-06,91860.55
LOAN20110,CUST10018,2539568.0,Education,13.12,24,Ongoing,2022-10-27,120878.88
LOAN20111,CUST10640,176065.0,Auto,14.02,36,Closed,2023-11-24,6019.19
LOAN20112,CUST10431,1186660.0,Personal,11.51,36,Ongoing,2022-07-12,39136.95
LOAN20113,CUST10899,3672365.0,Home,12.57,60,Closed,2021-07-08,82751.45
LOAN20114,CUST10592,4175323.0,Education,14.26,12,Ongoing,2022-10-04,375401.2
LOAN20115,CUST10467,1564259.0,Asset,10.06,24,Closed,2024-05-08,72225.94
LOAN20116,CUST10204,4865935.0,Home,10.12,60,Closed,2024-09-02,103674.28
LOAN20117,CUST10577,4936485.0,Auto,10.34,36,Closed,2023-09-10,160075.65
LOAN20118,CUST10042,3833821.0,Asset,8.96,24,Closed,2025-05-02,175076.77
LOAN20119,CUST10625,191325.0,Personal,9.71,36,Closed,2023-04-19,6147.5
LOAN20120,CUST10596,3965557.0,Personal,9.43,48,Closed,2023-03-02,99494.72
LOAN20121,CUST10943,404924.0,Education,9.55,48,Closed,2024-02-04,10182.63
LOAN20122,CUST10158,4965738.0,Personal,10.9,48,Ongoing,2025-05-12,128101.08
LOAN20123,CUST10919,1641528.0,Education,11.36,12,Closed,2021-07-29,145356.76
LOAN20124,CUST10560,4505117.0,Home,12.48,36,Ongoing,2022-09-23,150669.28
LOAN20125,CUST10035,517910.0,Home,12.7,60,Ongoing,2025-02-14,11704.66
LOAN20126,CUST10132,3012314.0,Personal,13.74,48,Closed,2022-08-03,81923.59
LOAN20127,CUST10197,4824502.0,Education,11.46,24,Ongoing,2024-10-08,225891.35
LOAN20128,CUST10947,83338.0,Auto,10.52,60,Closed,2024-03-23,1792.08
LOAN20129,CUST10233,3000414.0,Education,10.97,36,Ongoing,2023-05-23,98187.08
LOAN20130,CUST10314,2141354.0,Personal,12.46,36,Closed,2022-08-27,71594.98
LOAN20131,CUST10585,182394.0,Auto,7.12,12,Closed,2025-03-26,15792.05
LOAN20132,CUST10736,2628355.0,Home,10.66,24,Closed,2023-11-24,122087.46
LOAN20133,CUST10615,3992798.0,Personal,10.34,24,Ongoing,2022-09-12,184874.58
LOAN20134,CUST10609,1924499.0,Education,12.78,36,Ongoing,2023-06-09,64640.23
LOAN20135,CUST10177,3072811.0,Personal,7.03,12,Ongoing,2023-12-03,265922.84
LOAN20136,CUST10135,4869403.0,Education,13.39,60,Ongoing,2025-03-16,111768.46
LOAN20137,CUST10434,896520.0,Home,10.66,24,Ongoing,2025-01-22,41643.48
LOAN20138,CUST10783,3145087.0,Asset,11.07,60,Closed,2022-06-26,68491.66
LOAN20139,CUST10719,4390471.0,Home,9.07,24,Closed,2025-06-02,200718.58
LOAN20140,CUST10075,1428887.0,Auto,11.53,60,Ongoing,2023-04-20,31446.48
LOAN20141,CUST10157,3687911.0,Home,8.48,48,Ongoing,2021-07-08,90865.93
LOAN20142,CUST10002,1239470.0,Auto,9.46,12,Ongoing,2024-08-21,108658.06
LOAN20143,CUST10632,1806430.0,Auto,13.03,48,Closed,2023-01-20,48488.9
LOAN20144,CUST10419,3601653.0,Auto,11.33,60,Closed,2024-07-26,78902.7
LOAN20145,CUST10307,3742712.0,Personal,7.12,36,Ongoing,2025-04-20,115769.54
LOAN20146,CUST10623,330579.0,Home,12.88,60,Closed,2024-03-06,7501.4
LOAN20147,CUST10643,584468.0,Education,9.47,24,Ongoing,2023-12-24,26827.48
LOAN20148,CUST10564,3488936.0,Auto,8.08,36,Closed,2021-10-10,109459.38
LOAN20149,CUST10785,3592806.0,Asset,13.37,12,Ongoing,2022-08-18,321523.66
LOAN20150,CUST10680,933203.0,Education,7.76,60,Ongoing,2022-09-24,18814.99
LOAN20151,CUST10997,2680691.0,Auto,8.82,36,Ongoing,2024-05-17,85020.86
LOAN20152,CUST10697,3446277.0,Education,10.03,48,Closed,2022-03-26,87456.15
LOAN20153,CUST10499,1038199.0,Auto,12.76,12,Closed,2022-03-29,92612.25
LOAN20154,CUST10815,1738940.0,Personal,7.37,12,Ongoing,2023-02-03,150761.59
LOAN20155,CUST10510,1666523.0,Education,7.54,60,Closed,2023-04-28,33425.39
LOAN20156,CUST10968,4230289.0,Education,9.34,12,Closed,2024-03-18,370612.33
LOAN20157,CUST10091,1312453.0,Home,14.83,60,Ongoing,2024-11-29,31106.17
LOAN20158,CUST10822,3787388.0,Personal,8.75,12,Closed,2023-01-02,330773.75
LOAN20159,CUST10404,2361545.0,Asset,7.27,48,Closed,2022-08-23,56846.43
LOAN20160,CUST10651,2586220.0,Personal,14.64,36,Ongoing,2023-05-12,89196.9
LOAN20161,CUST10801,4446306.0,Home,8.33,48,Closed,2023-08-31,109237.39
LOAN20162,CUST10711,695853.0,Home,10.57,36,Closed,2021-07-13,22639.9
LOAN20163,CUST10751,4555045.0,Auto,14.01,48,Ongoing,2023-05-22,124496.18
LOAN20164,CUST10106,3812979.0,Education,12.52,48,Closed,2025-05-19,101386.63
LOAN20165,CUST10065,1077315.0,Education,8.06,36,Ongoing,2022-07-10,33788.96
LOAN20166,CUST10552,2025066.0,Home,7.02,24,Closed,2023-03-23,90685.79
LOAN20167,CUST10093,3154388.0,Home,9.46,24,Ongoing,2024-03-16,144774.07
LOAN20168,CUST10754,1891710.0,Auto,13.98,36,Closed,2022-02-03,64635.79
LOAN20169,CUST10923,3279001.0,Personal,7.63,60,Ongoing,2024-09-07,65907.2
LOAN20170,CUST10275,1465034.0,Education,9.35,60,Ongoing,2021-11-07,30661.16
LOAN20171,CUST10076,1148596.0,Education,11.66,12,Ongoing,2022-08-26,101868.76
LOAN20172,CUST10107,675127.0,Home,7.77,60,Closed,2023-05-21,13614.95
LOAN20173,CUST10134,2965753.0,Auto,14.04,12,Ongoing,2021-09-10,266342.23
LOAN20174,CUST10509,683737.0,Home,10.05,36,Closed,2022-08-10,22078.32
LOAN20175,CUST10186,204670.0,Home,11.77,36,Closed,2023-08-09,6775.51
LOAN20176,CUST10765,4894073.0,Home,7.04,24,Ongoing,2024-10-08,219209.03
LOAN20177,CUST10180,2010258.0,Home,7.06,12,Ongoing,2024-04-05,173996.69
LOAN20178,CUST10581,4185997.0,Personal,12.56,60,Ongoing,2022-09-22,94304.1
LOAN20179,CUST10540,4381092.0,Home,11.52,36,Ongoing,2023-12-19,144512.59
LOAN20180,CUST10424,739145.0,Home,9.54,36,Closed,2025-05-31,23690.82
LOAN20181,CUST10894,3762771.0,Education,12.85,24,Ongoing,2025-03-04,178624.0
LOAN20182,CUST10031,1670201.0,Asset,12.9,24,Closed,2022-08-27,79325.97
LOAN20183,CUST10764,3412361.0,Education,8.82,24,Closed,2024-09-24,155611.17
LOAN20184,CUST10196,1197597.0,Auto,8.44,60,Closed,2023-10-05,24535.92
LOAN20185,CUST10179,2044254.0,Personal,14.0,12,Ongoing,2025-03-21,183547.67
LOAN20186,CUST10730,2868034.0,Auto,14.51,12,Ongoing,2023-03-28,258201.24
LOAN20187,CUST10504,3216984.0,Personal,7.3,48,Closed,2022-03-20,77483.23
LOAN20188,CUST10121,651782.0,Personal,7.55,48,Closed,2021-12-07,15774.59
LOAN20189,CUST10876,4724918.0,Education,10.2,48,Ongoing,2023-09-08,120290.46
LOAN20190,CUST10025,3340367.0,Home,10.2,36,Closed,2021-06-28,108098.18
LOAN20191,CUST10681,223525.0,Personal,10.8,36,Closed,2025-01-29,7296.77
LOAN20192,CUST10905,2653689.0,Home,13.61,12,Closed,2025-04-24,237780.4
LOAN20193,CUST10418,2355821.0,Home,11.53,24,Ongoing,2022-10-15,110380.31
LOAN20194,CUST10861,961140.0,Personal,7.96,60,Closed,2023-12-15,19470.06
LOAN20195,CUST10988,4348228.0,Auto,8.89,24,Closed,2024-01-11,198428.29
LOAN20196,CUST10052,4753677.0,Personal,12.65,60,Closed,2024-10-27,107310.96
LOAN20197,CUST10389,3172834.0,Personal,7.12,60,Ongoing,2024-10-11,63005.71
LOAN20198,CUST10230,2517516.0,Personal,14.27,36,Closed,2023-01-27,86373.24
LOAN20199,CUST10874,2132883.0,Auto,14.9,12,Closed,2021-12-24,192409.79
LOAN20200,CUST10031,2790065.0,Auto,13.59,12,Ongoing,2021-07-12,249973.97
LOAN20201,CUST10198,364095.0,Education,8.75,48,Ongoing,2023-07-20,9017.36
LOAN20202,CUST10052,4152403.0,Home,12.08,48,Closed,2022-04-22,109511.87
LOAN20203,CUST10539,2127506.0,Education,8.93,36,Closed,2021-12-20,67584.83
LOAN20204,CUST10577,1123790.0,Personal,12.77,48,Ongoing,2022-08-19,30020.34
LOAN20205,CUST10588,2208185.0,Asset,13.15,36,Ongoing,2022-08-11,74562.12
LOAN20206,CUST10374,916593.0,Asset,13.17,48,Closed,2024-07-10,24667.3
LOAN20207,CUST10189,3518387.0,Home,12.62,48,Ongoing,2022-03-22,93727.28
LOAN20208,CUST10147,3265802.0,Auto,7.28,48,Ongoing,2021-10-23,78628.64
LOAN20209,CUST10309,4053803.0,Personal,7.58,12,Ongoing,2023-06-08,351847.22
LOAN20210,CUST10612,4576996.0,Asset,14.57,60,Closed,2024-03-20,107856.06
LOAN20211,CUST10715,4468921.0,Education,7.99,48,Closed,2023-09-27,109078.45
LOAN20212,CUST10685,1056054.0,Personal,7.78,60,Closed,2023-08-04,21301.95
LOAN20213,CUST10909,1276223.0,Auto,10.95,12,Closed,2021-09-27,112764.94
LOAN20214,CUST10765,294911.0,Home,9.19,24,Ongoing,2024-07-14,13498.66
LOAN20215,CUST10407,3174843.0,Auto,12.34,36,Ongoing,2023-10-08,105966.53
LOAN20216,CUST10042,4202029.0,Asset,11.34,24,Ongoing,2023-07-31,196511.45
LOAN20217,CUST10926,3456929.0,Personal,8.25,60,Ongoing,2025-01-13,70508.39
LOAN20218,CUST10171,1723971.0,Auto,10.73,12,Closed,2023-05-21,152150.38
LOAN20219,CUST10954,4328429.0,Asset,10.6,24,Closed,2022-04-01,200935.83
LOAN20220,CUST10816,4150424.0,Education,12.7,48,Closed,2023-07-06,110728.49
LOAN20221,CUST10310,3389823.0,Auto,7.25,12,Closed,2022-08-13,293701.18
LOAN20222,CUST10011,1163714.0,Home,12.78,12,Closed,2023-10-01,103819.69
LOAN20223,CUST10508,1370309.0,Auto,12.91,12,Closed,2021-08-02,122334.41
LOAN20224,CUST10621,4675705.0,Education,14.63,24,Closed,2025-01-26,225888.17
LOAN20225,CUST10709,3081625.0,Asset,13.96,24,Ongoing,2022-03-07,147899.48
LOAN20226,CUST10436,1591858.0,Personal,14.89,48,Ongoing,2022-07-26,44213.89
LOAN20227,CUST10454,3329360.0,Auto,12.24,24,Ongoing,2025-03-22,157097.95
LOAN20228,CUST10719,775256.0,Education,11.61,12,Ongoing,2022-05-02,68739.19
LOAN20229,CUST10489,376067.0,Home,14.08,36,Closed,2025-01-30,12867.7
LOAN20230,CUST10804,4985299.0,Home,10.12,24,Closed,2025-02-25,230322.47
LOAN20231,CUST10046,1981021.0,Auto,10.85,48,Closed,2025-04-03,51056.34
LOAN20232,CUST10547,2975958.0,Personal,9.65,24,Ongoing,2023-04-30,136845.12
LOAN20233,CUST10502,4978242.0,Auto,10.95,48,Closed,2025-03-28,128544.42
LOAN20234,CUST10598,1601729.0,Asset,12.83,60,Ongoing,2022-07-12,36305.02
LOAN20235,CUST10464,3899479.0,Personal,10.23,12,Closed,2022-05-30,343243.43
LOAN20236,CUST10236,2898568.0,Auto,10.35,60,Closed,2022-04-02,62086.37
LOAN20237,CUST10469,3579739.0,Personal,10.41,24,Closed,2025-03-04,165865.03
LOAN20238,CUST10112,4091185.0,Asset,10.01,36,Ongoing,2023-12-22,132030.24
LOAN20239,CUST10163,186002.0,Auto,9.29,12,Closed,2021-12-13,16291.17
LOAN20240,CUST10024,3100374.0,Personal,10.29,60,Closed,2021-06-07,66317.05
LOAN20241,CUST10891,4639243.0,Education,10.29,48,Closed,2022-06-12,118310.35
LOAN20242,CUST10017,4890827.0,Home,9.18,24,Ongoing,2021-07-12,223840.31
LOAN20243,CUST10424,963594.0,Auto,11.59,36,Ongoing,2023-02-21,31816.74
LOAN20244,CUST10619,3175723.0,Education,8.84,24,Ongoing,2021-07-12,144849.07
LOAN20245,CUST10976,2471699.0,Home,10.78,24,Closed,2022-08-02,114948.25
LOAN20246,CUST10986,428716.0,Personal,7.12,12,Ongoing,2024-05-12,37119.12
LOAN20247,CUST10854,4196939.0,Personal,11.9,48,Ongoing,2023-09-10,110315.55
LOAN20248,CUST10666,369088.0,Home,8.16,24,Closed,2022-10-16,16719.8
LOAN20249,CUST10886,2207103.0,Home,11.0,36,Closed,2024-11-15,72257.72
LOAN20250,CUST10227,1386330.0,Home,13.97,12,Ongoing,2021-12-16,124455.01
LOAN20251,CUST10848,1215866.0,Home,10.81,60,Ongoing,2022-10-28,26320.81
LOAN20252,CUST10395,2135204.0,Personal,7.89,60,Ongoing,2024-04-22,43181.92
LOAN20253,CUST10354,1733356.0,Home,14.72,60,Ongoing,2025-02-25,40982.1
LOAN20254,CUST10169,1023341.0,Asset,14.59,36,Ongoing,2022-08-02,35269.33
LOAN20255,CUST10623,2583126.0,Education,12.36,48,Closed,2024-10-30,68481.09
LOAN20256,CUST10079,3996526.0,Home,13.93,24,Closed,2023-03-11,191752.6
LOAN20257,CUST10157,4110720.0,Auto,7.56,12,Closed,2021-11-11,356749.33
LOAN20258,CUST10587,1642072.0,Auto,8.29,36,Ongoing,2022-12-04,51676.53
LOAN20259,CUST10392,4501771.0,Home,12.79,12,Ongoing,2024-02-28,401642.52
LOAN20260,CUST10394,4027566.0,Personal,8.17,24,Closed,2024-02-29,182468.33
LOAN20261,CUST10798,4618560.0,Home,10.11,36,Closed,2023-10-02,149266.58
LOAN20262,CUST10763,505816.0,Personal,9.57,48,Closed,2024-05-29,12724.6
LOAN20263,CUST10922,1152204.0,Personal,13.22,60,Ongoing,2023-09-28,26346.13
LOAN20264,CUST10756,4930518.0,Education,10.3,60,Ongoing,2022-11-20,105488.22
LOAN20265,CUST10714,2169992.0,Auto,9.45,36,Ongoing,2022-12-25,69460.54
LOAN20266,CUST10878,1274310.0,Home,14.71,48,Closed,2023-03-19,35277.96
LOAN20267,CUST10278,925098.0,Home,13.35,12,Ongoing,2024-02-06,82779.22
LOAN20268,CUST10542,1597824.0,Auto,10.88,12,Ongoing,2023-04-02,141128.91
LOAN20269,CUST10359,3374397.0,Home,11.08,48,Ongoing,2025-01-21,87344.21
LOAN20270,CUST10395,1547300.0,Home,13.38,60,Ongoing,2024-07-24,35507.55
LOAN20271,CUST10330,3972217.0,Education,8.29,12,Ongoing,2022-02-04,346069.76
LOAN20272,CUST10821,4008676.0,Auto,10.99,48,Ongoing,2025-02-15,103586.86
LOAN20273,CUST10164,877736.0,Personal,7.78,48,Closed,2022-01-23,21337.57
LOAN20274,CUST10921,2486433.0,Auto,10.58,24,Ongoing,2023-09-02,115403.02
LOAN20275,CUST10824,418529.0,Auto,14.01,48,Closed,2024-11-10,11439.02
LOAN20276,CUST10991,575287.0,Home,7.6,60,Ongoing,2025-01-05,11554.93
LOAN20277,CUST10514,3443266.0,Auto,7.62,60,Ongoing,2021-11-18,69192.5
LOAN20278,CUST10351,1623543.0,Education,7.26,12,Ongoing,2022-01-24,140674.57
LOAN20279,CUST10653,2129007.0,Asset,9.53,48,Ongoing,2022-05-22,53517.84
LOAN20280,CUST10534,1902831.0,Home,9.1,60,Closed,2024-07-08,39592.06
LOAN20281,CUST10482,233706.0,Personal,10.65,36,Ongoing,2023-08-23,7612.56
LOAN20282,CUST10527,2116844.0,Home,13.01,48,Closed,2022-09-18,56800.13
LOAN20283,CUST10827,1679520.0,Home,12.8,24,Closed,2021-09-18,79689.76
LOAN20284,CUST10313,4963094.0,Personal,10.86,60,Closed,2024-09-10,107563.49
LOAN20285,CUST10009,3010611.0,Auto,14.38,24,Closed,2023-01-06,145089.16
LOAN20286,CUST10131,1074412.0,Auto,14.49,24,Closed,2023-08-26,51834.67
LOAN20287,CUST10235,1357500.0,Home,9.68,48,Closed,2023-03-31,34221.46
LOAN20288,CUST10359,661473.0,Personal,11.8,48,Closed,2021-12-20,17354.24
LOAN20289,CUST10027,3620698.0,Personal,9.07,48,Closed,2022-07-15,90221.62
LOAN20290,CUST10026,1724316.0,Education,13.57,12,Ongoing,2022-03-26,154472.71
LOAN20291,CUST10549,2664295.0,Home,9.51,36,Ongoing,2024-09-19,85357.68
LOAN20292,CUST10272,2703878.0,Home,9.62,36,Ongoing,2023-10-09,86764.94
LOAN20293,CUST10779,3269839.0,Home,14.67,60,Ongoing,2021-07-20,77223.99
LOAN20294,CUST10598,2785125.0,Home,11.98,24,Ongoing,2023-05-17,131079.49
LOAN20295,CUST10300,2991453.0,Education,9.06,12,Closed,2023-05-06,261690.22
LOAN20296,CUST10516,478699.0,Education,7.5,36,Ongoing,2021-06-23,14890.52
LOAN20297,CUST10540,3704333.0,Auto,13.08,36,Closed,2023-03-15,124956.41
LOAN20298,CUST10335,4540750.0,Education,11.3,24,Closed,2022-07-26,212267.54
LOAN20299,CUST10240,290055.0,Home,9.42,36,Ongoing,2023-07-13,9280.47
LOAN20300,CUST10746,3282771.0,Auto,12.32,36,Ongoing,2022-12-12,109537.39
LOAN20301,CUST10975,1381656.0,Education,8.57,60,Ongoing,2022-06-11,28393.42
LOAN20302,CUST10362,4997803.0,Asset,14.15,12,Ongoing,2023-11-02,449091.14
LOAN20303,CUST10292,1854527.0,Home,9.33,48,Ongoing,2024-12-18,46441.13
LOAN20304,CUST10439,2576678.0,Home,13.24,12,Closed,2022-04-05,230432.09
LOAN20305,CUST10122,1983989.0,Personal,9.57,48,Closed,2021-09-28,49910.37
LOAN20306,CUST10539,104916.0,Education,7.64,60,Ongoing,2023-07-27,2109.29
