Asset ID,Asset Worth,Customer ID
ASSET51536,,CUST10891
ASSET51538,8025937.39,CUST10963
ASSET51551,6249331.53,CUST10936
ASSET51553,,CUST10370
ASSET51601,,CUST10313
ASSET51615,,CUST10727
ASSET51634,,CUST10192
ASSET51681,,CUST10339
ASSET51685,,CUST10163
ASSET51706,,CUST10815
ASSET51709,,CUST10303
ASSET51711,907805.06,CUST10361
ASSET51717,,CUST10957
ASSET51731,8684969.49,CUST10001
ASSET51750,,CUST10414
ASSET51781,,CUST10638
ASSET51800,,CUST10398
ASSET51816,,CUST10907
ASSET51818,3532194.8,CUST10837
ASSET51826,7582549.96,CUST10900
ASSET51827,,CUST10236
ASSET51831,,CUST10724
ASSET51851,3011926.13,CUST10560
ASSET51866,,CUST10470
ASSET51882,,CUST10368
ASSET51884,,CUST10722
ASSET51885,7246945.98,CUST10800
ASSET51890,,CUST10159
ASSET51901,4031690.31,CUST10265
ASSET51905,,CUST10032
ASSET51916,,CUST10789
ASSET51926,,CUST10433
ASSET51932,,CUST10685
ASSET51936,,CUST10716
ASSET51944,,CUST10166
ASSET51950,,CUST10636
ASSET51953,5859816.03,CUST10507
ASSET51972,6078352.29,CUST10289
ASSET51976,,CUST10376
ASSET51978,872517.63,CUST10738
ASSET51983,,CUST10875
